Source,Target,Id,Weight,Type
FR, AE, FRAE, 4811734343, directed
FR, AT, FRAT, 10091956221, directed
FR, AU, FRAU, 3772975625, directed
FR, BD, FRBD, 3243442655, directed
FR, BE, FRBE, 72429118636, directed
FR, BR, FRBR, 7194033675, directed
FR, CA, FRCA, 6846598093, directed
FR, CH, FRCH, 32529277362, directed
FR, CN, FRCN, 74171396024, directed
FR, CZ, FRCZ, 12727862257, directed
FR, DE, FRDE, 154976356595, directed
FR, DK, FRDK, 6127339658, directed
FR, DZ, FRDZ, 9090628334, directed
FR, ES, FRES, 74328641516, directed
FR, FI, FRFI, 4633295369, directed
FR, GB, FRGB, 56110129862, directed
FR, GR, FRGR, 3450914662, directed
FR, HK, FRHK, 6496938468, directed
FR, HU, FRHU, 8154110537, directed
FR, ID, FRID, 3439625363, directed
FR, IE, FRIE, 10948502993, directed
FR, IN, FRIN, 11670462397, directed
FR, IT, FRIT, 81034518307, directed
FR, JP, FRJP, 18126678321, directed
FR, KR, FRKR, 9341776847, directed
FR, KZ, FRKZ, 3589335726, directed
FR, LU, FRLU, 4108394966, directed
FR, MA, FRMA, 10352819611, directed
FR, MX, FRMX, 6040465704, directed
FR, NG, FRNG, 4523775333, directed
FR, NL, FRNL, 42880449838, directed
FR, NO, FRNO, 5245018776, directed
FR, PL, FRPL, 21997881775, directed
FR, PT, FRPT, 14148923642, directed
FR, QA, FRQA, 4517899840, directed
FR, RO, FRRO, 8520064791, directed
FR, RU, FRRU, 14330837696, directed
FR, SA, FRSA, 9690597711, directed
FR, SE, FRSE, 11738852244, directed
FR, SG, FRSG, 12203642923, directed
FR, SI, FRSI, 3077142526, directed
FR, SK, FRSK, 8127294232, directed
FR, TH, FRTH, 4665177297, directed
FR, TN, FRTN, 7841777898, directed
FR, TR, FRTR, 14728514213, directed
FR, TW, FRTW, 4960312253, directed
FR, US, FRUS, 81172807964, directed
FR, VN, FRVN, 7262222597, directed
FR, ZA, FRZA, 3068738789, directed
